review_label,label_schema,review_reason,partition,bvid,text,pred_label,pred_raw_label,model_confidence,lexicon_score,prob_positive,prob_neutral,prob_negative,pos_cnt,neg_cnt,word_len
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,还是阿玮的声音好听一点,正面,负面,0.46360693379660745,3.0,0.3610161745642057,0.17537689163918685,0.46360693379660745,3,0,5
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,我懂了 高级工程师,正面,正面,0.5710940448436441,3.0,0.5710940448436441,0.2916145522598802,0.1372914028964757,3,0,3
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,我面试 应聘者的时候，问的数据库问题，基本都不会，我最后随便选了一个看着顺眼的,负面,负面,0.575934069332328,-4.0,0.0684745734820026,0.35559135718566937,0.575934069332328,2,6,17
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,这个声音，有点子念动画片的感觉哈哈哈,正面,负面,0.5925425692891736,3.0,0.35870910434386616,0.04874832636696035,0.5925425692891736,3,0,9
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,我杨子肾就没学不会的课程,负面,中性,0.6164134480664687,-3.0,0.03240997815013693,0.6164134480664687,0.35117657378339456,0,3,6
,"1=正面,0=中性,-1=负面",模型低置信度,生活区,BV1Rjc4zJEvz,我不行了，他Y的这一下我绷不住了。,负面,中性,0.6378785143252254,-4.0,0.034305530542925344,0.6378785143252254,0.3278159551318493,0,4,7
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,一看84人在学习都这么认真，我也要加油呀！,正面,正面,0.6499135993903749,4.0,0.6499135993903749,0.010439256182621771,0.33964714442700333,4,0,13
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,"看我CSDN主页""天天都要happy哦"",有本次课程的笔记,图文并茂,非常详细,供大家阅读",正面,正面,0.6522251463777657,5.0,0.6522251463777657,0.004484809505362873,0.34329004411687136,4,0,22
,"1=正面,0=中性,-1=负面",词典偏正但模型偏负,学习区,BV1Kr4y1i7ru,雪国佬张扬正式开始学习MySQL，我张扬一定会成为最厉害的雪国列车列车长,正面,负面,0.6619475678102354,3.0,0.3035944851096617,0.034457947080102865,0.6619475678102354,3,0,17
,"1=正面,0=中性,-1=负面",词典偏正但模型偏负,生活区,BV1Rjc4zJEvz,太假了，这么多人喜欢看，不愧是一群基本盘,正面,负面,0.6889166024102875,4.0,0.2961334194585872,0.014949978131125283,0.6889166024102875,4,0,11
