partition,bvid,title,view_count,like_count,coin_count,favorite_count,reply_count,danmaku_count,text,label,text_clean,pos_cnt,neg_cnt,word_len,exclaim_cnt,question_cnt,lexicon_score,lexicon_pos_score,lexicon_neg_score,lexicon_abs_score,sentiment_density,pred,model_confidence,prob_negative,prob_neutral,prob_positive,pred_raw_label,pred_label,manual_label,manual_override
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,双体软件精英产业学院打卡！！！,,双体软件精英产业学院打卡！！！,0,0,9,3,0,0.0,0.0,0.0,0.0,0.0,1,0.5998991312687266,0.011399671740797104,0.3887011969904762,0.5998991312687266,正面,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,鲜衣怒码少年郎23/8/20打卡！！,,鲜衣怒码少年郎23820打卡！！,0,0,7,2,0,0.0,0.0,0.0,0.0,0.0,1,0.5430897849198707,0.02856850204832609,0.42834171303180324,0.5430897849198707,正面,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,从入门到入土,,从入门到入土,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.6429257895567011,0.1691726976428113,0.6429257895567011,0.1879015128004877,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,先把饼画起来,,先把饼画起来,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.7533440901541347,0.11940869670137927,0.7533440901541347,0.12724721314448598,中性,中性,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,都是卷王,,都是卷王,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.48806512017710435,0.41274130785967716,0.48806512017710435,0.09919357196321843,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,强者发型,,强者发型,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.675729588576332,0.2004223710326657,0.675729588576332,0.1238480403910023,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,"数据并不是页面写死,数据库中的这些网站,数据取出来,加入对应的业务逻辑",,"数据并不是页面写死,数据库中的这些网站,数据取出来,加入对应的业务逻辑",0,0,20,0,0,0.0,0.0,0.0,0.0,0.0,-1,0.539741031271302,0.539741031271302,0.11517271549088842,0.3450862532378096,负面,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,北大学生前来报到,,北大学生前来报到,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.6872435618294507,0.11938390651643618,0.6872435618294507,0.19337253165411314,中性,中性,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,孙悟空孙悟空孙悟空孙悟空孙悟空,,孙悟空孙悟空孙悟空孙悟空孙悟空,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.4641064784913729,0.20217979333455036,0.4641064784913729,0.3337137281740767,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,杨藉智到此一游,,杨藉智到此一游,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.6518578736628743,0.21334122995343885,0.6518578736628743,0.13480089638368695,中性,负面,,False
