partition,bvid,text,pred_label,pred_raw_label,model_confidence,prob_positive,prob_neutral,prob_negative,lexicon_score,pos_cnt,neg_cnt,manual_override,manual_label
学习区,BV1Kr4y1i7ru,双体软件精英产业学院打卡！！！,正面,中性,0.6132273570988097,0.38031431701627677,0.6132273570988097,0.006458325884913495,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,鲜衣怒码少年郎23/8/20打卡！！,正面,中性,0.6971633683444295,0.2891875523688992,0.6971633683444295,0.013649079286671202,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,孙悟空孙悟空孙悟空孙悟空孙悟空,正面,中性,0.6909423660200781,0.19167947267919497,0.6909423660200781,0.11737816130072706,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,54个好兄弟,正面,正面,0.6515858169826853,0.6515858169826853,0.23090505138513737,0.1175091316321774,1.0,1,0,True,1.0
学习区,BV1Kr4y1i7ru,前面那个声音像孙悟空的笑死了,正面,正面,0.5714314353795313,0.5714314353795313,0.12732577123054947,0.3012427933899192,1.0,1,0,False,
学习区,BV1Kr4y1i7ru,本人发现资料中没有md格式笔记，就在CSDN上总结了一些笔记，希望可以帮到大家！（博主：Purse Wind）❀,正面,正面,0.7036532637089359,0.7036532637089359,0.05383787676472941,0.24250885952633475,2.0,2,0,True,1.0
学习区,BV1Kr4y1i7ru,越听越像孙悟空,正面,中性,0.457084571299073,0.4089288027066616,0.457084571299073,0.1339866259942654,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,猴哥,正面,中性,0.6899761890827677,0.2530098629562542,0.6899761890827677,0.05701394796097829,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,孙悟空！,正面,中性,0.5115187669044706,0.4677853561786916,0.5115187669044706,0.020695876916837764,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,老师的声音好像孙悟空,正面,中性,0.5248180516370164,0.30881079678222495,0.5248180516370164,0.16637115158075863,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,最后一课见,正面,中性,0.6681955543581114,0.16822414112509737,0.6681955543581114,0.16358030451679134,0.0,0,0,False,
学习区,BV1Kr4y1i7ru,南京邮电大学陈渠川打卡，一天一集，感动自己,正面,正面,0.4422781857964799,0.4422781857964799,0.24474156815625592,0.31298024604726427,2.0,2,0,True,1.0
