review_label,label_schema,review_reason,partition,bvid,text,pred_label,pred_raw_label,model_confidence,lexicon_score,prob_positive,prob_neutral,prob_negative,pos_cnt,neg_cnt,word_len
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,不好意思,负面,中性,0.5172786533126722,-2.0,0.4020623240796304,0.5172786533126722,0.0806590226076972,0,2,1
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,无聊,负面,中性,0.5402487574012709,-2.0,0.4019324168195657,0.5402487574012709,0.0578188257791634,0,2,1
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,耶耶耶，加油啊,正面,正面,0.5623535491860606,2.0,0.5623535491860606,0.0409648139658818,0.3966816368480576,2,0,3
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,劝退,负面,中性,0.5980762376304486,-2.0,0.3352066313430947,0.5980762376304486,0.0667171310264567,0,2,1
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,你值得拥有,正面,正面,0.659444833070973,2.0,0.659444833070973,0.2957505330208028,0.0448046339082241,2,0,2
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,linux安装MySQL安装不了，虚拟机创建不成功怎么办,负面,负面,0.4981859256625746,-1.0,0.0601472919750293,0.4416667823623958,0.4981859256625746,1,2,11
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,不会java可以学嘛,负面,中性,0.5122529380597047,-1.0,0.3562197585127839,0.5122529380597047,0.1315273034275113,2,3,4
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,2024年02月21日19:19，饭饭开始学习mysql数据库，冲鸭！！！,正面,正面,0.5637305769247962,1.0,0.5637305769247962,0.4183649413351503,0.0179044817400534,1,0,19
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,2025年新年快乐,正面,中性,0.6131250460936134,1.0,0.3109256479316737,0.6131250460936134,0.0759493059747128,1,0,3
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,吓哭了,负面,中性,0.6362773735172681,-1.0,0.2478913207207087,0.6362773735172681,0.115831305762023,0,1,1
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,放弃了,负面,中性,0.6362773735172681,-1.0,0.2478913207207087,0.6362773735172681,0.115831305762023,0,1,1
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,黑马出品，必出精品,负面,负面,0.3679771756285044,0.0,0.3430195580283011,0.2890032663431944,0.3679771756285044,0,0,5
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,这声音好像我家哥哥micro_frank啊,正面,正面,0.3734300632271073,0.0,0.3734300632271073,0.301188659533558,0.3253812772393346,0,0,5
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,这个老师是我见过讲得最好的老师,负面,负面,0.3757769576573624,0.0,0.2734956300382689,0.3507274123043686,0.3757769576573624,0,0,8
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,北大青鸟报班 黑马上课,正面,正面,0.3769721561357508,0.0,0.3769721561357508,0.368817498826738,0.2542103450375112,0,0,5
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,声音比较尖,负面,负面,0.3888570093481716,0.0,0.2361111630775916,0.3750318275742366,0.3888570093481716,0,0,3
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,数据库的不懂得 可以问我，不难,负面,中性,0.3938940595145997,0.0,0.2308967103634621,0.3938940595145997,0.3752092301219379,1,1,7
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,学啥在b站搜都能搜到黑马,正面,正面,0.3981369871151941,0.0,0.3981369871151941,0.2200875667772368,0.3817754461075691,0,0,9
1,"1=正面,0=中性,-1=负面",词典偏正但模型偏负,学习区,BV1Kr4y1i7ru,上面的牛，学这个就是为了删库跑路,正面,负面,0.7415949400142806,1.0,0.1166658739753193,0.1417391860103999,0.7415949400142806,1,0,10
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,始终站在行业发展的前列腺上,负面,负面,0.4091453196575191,0.0,0.1938837444666951,0.3969709358757857,0.4091453196575191,0,0,7
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,清明你们不去踏青怎么都在卷,负面,负面,0.4094040730714892,0.0,0.2941524985388029,0.2964434283897078,0.4094040730714892,0,0,8
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,黑马程序员的课就那样吧,负面,负面,0.4107590886319959,0.0,0.2223114347609195,0.3669294766070846,0.4107590886319959,0,0,5
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,老师的声音好像猴哥啊,负面,负面,0.4130945260380265,0.0,0.212229326464359,0.3746761474976144,0.4130945260380265,0,0,4
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,声音像孙悟空,正面,正面,0.4245050911901492,0.0,0.4245050911901492,0.417172808949863,0.1583220998599877,0,0,3
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,我在最后一集等你们,负面,中性,0.4260153769824458,0.0,0.1982402075824471,0.4260153769824458,0.3757444154351069,0,0,5
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,是邓老师捏,正面,正面,0.4269242138606265,0.0,0.4269242138606265,0.3721698867683888,0.2009058993709846,0,0,3
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,常用的存储迎请就是数据库的优化是我们徐娅欧胡hi用的哟ing一种是 拘束‘,正面,中性,0.4318244226558607,0.0,0.3148101214763241,0.4318244226558607,0.253365455867815,0,0,15
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,黑马出品必属精品,正面,正面,0.4320946007464611,0.0,0.4320946007464611,0.4121269361212993,0.1557784631322393,0,0,4
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,70人在卷,负面,负面,0.432873224120806,0.0,0.1914114439698191,0.3757153319093749,0.432873224120806,0,0,4
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,资料在哪啊,负面,负面,0.4335750477842766,0.0,0.1471374566432152,0.4192874955725081,0.4335750477842766,0,0,3
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,学了基础就去javaweb,负面,中性,0.4343206060197057,0.0,0.1442438140422831,0.4343206060197057,0.4214355799380112,0,0,5
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,数据在一层层深入，一层层嵌套,负面,中性,0.4347371816237801,0.0,0.1394266090723894,0.4347371816237801,0.4258362093038304,0,0,7
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,你们也太卷了,负面,负面,0.4389618909740174,0.0,0.2095396192377866,0.3514984897881959,0.4389618909740174,0,0,3
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,又是你WEB老师,正面,中性,0.440397440015064,0.0,0.4267775114983614,0.440397440015064,0.1328250484865746,0,0,3
,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,其实它们都是爬虫去找数据,负面,中性,0.4423059346414296,0.0,0.1874488981928183,0.4423059346414296,0.3702451671657519,0,0,7
