review_label,label_schema,review_reason,partition,bvid,text,pred_label,pred_raw_label,model_confidence,lexicon_score,prob_positive,prob_neutral,prob_negative,pos_cnt,neg_cnt,word_len
1,"1=正面,0=中性,-1=负面",模型低置信度,生活区,BV1Rjc4zJEvz,我不行了，他Y的这一下我绷不住了。,负面,中性,0.4926682197705552,-4.0,0.040126815315726,0.4926682197705552,0.4672049649137188,0,4,7
0,"1=正面,0=中性,-1=负面",模型低置信度,生活区,BV1Rjc4zJEvz,牙崩了牙崩了，牙崩了吗牙崩了吗,负面,中性,0.5337650700172243,-3.0,0.0537008013335176,0.5337650700172243,0.412534128649258,0,3,7
1,"1=正面,0=中性,-1=负面",词典偏正但模型偏负,学习区,BV1Kr4y1i7ru,"看我CSDN主页""天天都要happy哦"",有本次课程的笔记,图文并茂,非常详细,供大家阅读",正面,负面,0.6606749483742719,5.0,0.3360631119377389,0.0032619396879892,0.6606749483742719,4,0,22
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,成功并不难，因为很多人在路上就倒下了。,正面,负面,0.4867312299127488,2.0,0.3727640258549914,0.1405047442322597,0.4867312299127488,2,0,12
1,"1=正面,0=中性,-1=负面",词典偏正但模型偏负,学习区,BV1Kr4y1i7ru,增删改查熟练 能在mybits写增删改查恭喜你可以找个外包入职了,正面,负面,0.8223808209015858,4.0,0.1713615543416871,0.006257624756727,0.8223808209015858,4,0,15
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,南京邮电大学陈渠川打卡，一天一集，感动自己,正面,正面,0.5114002647328145,2.0,0.5114002647328145,0.1707239881934256,0.3178757470737599,2,0,10
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,2026年3月12下午6点大家好,正面,正面,0.5448827485600686,2.0,0.5448827485600686,0.2459205386765548,0.2091967127633765,2,0,10
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,"399,你值得拥有",正面,正面,0.554762908284508,2.0,0.554762908284508,0.4162818291276374,0.0289552625878546,2,0,4
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,系统工程师来卷,正面,中性,0.5923231134413606,2.0,0.3638306490585886,0.5923231134413606,0.0438462375000508,2,0,3
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,"不好理解,知识点,精美动画图例,",正面,正面,0.5927524172403567,2.0,0.5927524172403567,0.3110646482540501,0.0961829345055932,2,0,9
