partition,bvid,title,view_count,like_count,coin_count,favorite_count,reply_count,danmaku_count,text,label,text_clean,pos_cnt,neg_cnt,word_len,exclaim_cnt,question_cnt,lexicon_score,lexicon_pos_score,lexicon_neg_score,lexicon_abs_score,sentiment_density,pred,model_confidence,prob_negative,prob_neutral,prob_positive,pred_raw_label,pred_label,manual_label,manual_override
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,sql之巅，有我MySQL便有天,,sql之巅，有我MySQL便有天,1,0,8,0,0,1.0,1.0,0.0,1.0,0.125,1,0.35153116362721587,0.33782593431912494,0.31064290205365913,0.35153116362721587,正面,正面,1.0,True
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,7639986,458094,7604,125299,10730,1422,警示配音，不要模仿不然会很搞笑哟。请勿模仿。,,警示配音，不要模仿不然会很搞笑哟。请勿模仿。,1,0,14,0,0,1.0,1.0,0.0,1.0,0.07142857142857142,1,0.3615631131638023,0.29179198211780233,0.3466449047183954,0.3615631131638023,正面,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,陈建平不喜欢数据库,,陈建平不喜欢数据库,1,1,4,0,0,0.0,1.0,1.0,0.0,0.5,0,0.36168358779574217,0.2962764947138536,0.36168358779574217,0.34203991749040424,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,为了让事务存储迎请缩影优化所就是一种重要的我形式,,为了让事务存储迎请缩影优化所就是一种重要的我形式,0,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0,0.368002035805704,0.33339086852079614,0.368002035805704,0.2986070956734998,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,北大青鸟的兄弟们辛苦了,,北大青鸟的兄弟们辛苦了,1,0,5,0,0,1.0,1.0,0.0,1.0,0.2,0,0.36997021397331775,0.2995738396246581,0.36997021397331775,0.3304559464020241,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,B站不就是用go语言写的,,B站不就是用go语言写的,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,-1,0.37431317243294054,0.37431317243294054,0.32722930224124397,0.29845752532581543,负面,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,怎么学 学完以后有什么收获  存储和管理数据的大型软件 操作,,怎么学学完以后有什么收获存储和管理数据的大型软件操作,2,0,12,0,0,2.0,2.0,0.0,2.0,0.16666666666666666,-1,0.3766867706445597,0.3766867706445597,0.30422721869282343,0.3190860106626168,负面,负面,-1.0,True
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,103人牛逼,,103人牛逼,1,0,3,0,0,1.0,1.0,0.0,1.0,0.3333333333333333,1,0.3807087800904164,0.30219561515538285,0.3170956047542007,0.3807087800904164,正面,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,这不是可爱的Pink老师吗？,,这不是可爱的Pink老师吗？,1,1,5,0,1,0.0,1.0,1.0,0.0,0.4,-1,0.38190372208721635,0.38190372208721635,0.356011231395663,0.26208504651712067,负面,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,已经过亿了,,已经过亿了,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.38241105035563105,0.27160154552786947,0.38241105035563105,0.34598740411649936,中性,正面,,False
