partition,bvid,title,view_count,like_count,coin_count,favorite_count,reply_count,danmaku_count,text,label,text_clean,pos_cnt,neg_cnt,word_len,exclaim_cnt,question_cnt,lexicon_score,lexicon_pos_score,lexicon_neg_score,lexicon_abs_score,sentiment_density,pred,model_confidence,prob_negative,prob_neutral,prob_positive,pred_raw_label,pred_label,manual_label,manual_override
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,双体软件精英产业学院打卡！！！,,双体软件精英产业学院打卡！！！,0,0,9,3,0,0.0,0.0,0.0,0.0,0.0,0,0.6499839604417182,0.02431139423687765,0.6499839604417182,0.325704645321404,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,鲜衣怒码少年郎23/8/20打卡！！,,鲜衣怒码少年郎23820打卡！！,0,0,7,2,0,0.0,0.0,0.0,0.0,0.0,0,0.6077875140044269,0.05196491428840963,0.6077875140044269,0.3402475717071635,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,从入门到入土,,从入门到入土,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.5905303220554328,0.20838460531075093,0.5905303220554328,0.20108507263381628,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,先把饼画起来,,先把饼画起来,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.8246226715156388,0.07998920705792585,0.8246226715156388,0.09538812142643538,中性,中性,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,都是卷王,,都是卷王,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,-1,0.41299236622252883,0.41299236622252883,0.30455381209361526,0.2824538216838559,负面,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,强者发型,,强者发型,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.6092843534736252,0.21943753885722253,0.6092843534736252,0.17127810766915222,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,"数据并不是页面写死,数据库中的这些网站,数据取出来,加入对应的业务逻辑",,"数据并不是页面写死,数据库中的这些网站,数据取出来,加入对应的业务逻辑",0,0,20,0,0,0.0,0.0,0.0,0.0,0.0,0,0.47312452639223446,0.27381922423498095,0.47312452639223446,0.25305624937278465,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,北大学生前来报到,,北大学生前来报到,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.5382854318608417,0.1816629329003234,0.5382854318608417,0.28005163523883486,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,孙悟空孙悟空孙悟空孙悟空孙悟空,,孙悟空孙悟空孙悟空孙悟空孙悟空,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.7251392813216392,0.12759590959157305,0.7251392813216392,0.14726480908678774,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,杨藉智到此一游,,杨藉智到此一游,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.596656162384707,0.2277765478427503,0.596656162384707,0.1755672897725427,中性,负面,,False
